epoch,lr,train_total,train_mse,train_contrastive,train_geofence,val_mean_m,val_median_m,val_recall_100m,val_recall_1km
1,0.00015005,1.9275297079494293,0.9149623709247712,3.375224312358999,0.0,4115.049183294197,4070.7459716796875,0.0,4.405874499332444
2,1e-07,1.7279891859401355,0.7504325976027525,3.2585218296969,0.0,3882.902826530752,3649.4659423828125,0.0,6.074766355140187
3,0.00015004999999999996,1.6501356589602914,0.6877180887734826,3.2080584439364346,0.0,3878.8771377889434,3645.8599853515625,0.0,6.074766355140187
4,0.0003,1.6623121174899014,0.699578739901915,3.209111137186142,0.0,3818.468323507678,3601.0579833984375,0.06675567423230974,6.742323097463284
5,0.00015005000000000002,1.6676724588169771,0.7066197129972478,3.2035090400573405,0.0,3819.292716333163,3571.321044921875,0.0,5.540720961281709
6,1e-07,1.5794187478203188,0.6360810364790779,3.1444589135481076,0.0,3719.1134010488104,3424.1016845703125,0.06675567423230974,7.343124165554073
7,0.00015004999999999996,1.5315724853525825,0.5976366886799348,3.113119196764288,0.0,3715.1481302971833,3417.000244140625,0.0,7.476635514018691
8,0.00030000000000000003,1.5262917299321628,0.5961422394303715,3.10049817906344,0.0,3758.198029916659,3454.7078857421875,0.13351134846461948,6.141522029372497
9,0.00015005000000000007,1.5614229437501672,0.623090474841429,3.1277747740720043,0.0,3789.0471106224927,3456.6142578125,0.13351134846461948,7.476635514018691
10,1e-07,1.4555395478233297,0.544508977449514,3.0367684593812667,0.0,3522.8280001794383,3101.1890869140625,0.06675567423230974,9.946595460614152
11,1e-07,1.436964587094312,0.5293408517531533,3.025412330015458,0.0,3637.074164957166,3265.6221923828125,0.0,8.144192256341789
12,1e-07,1.3956174378726571,0.4980748181037087,2.9918086006042155,0.0,3602.5834758845126,3233.5465087890625,0.0,8.344459279038718
13,1e-07,1.3696366640973219,0.47902695404335777,2.968698919775652,0.0,3585.545276840475,3221.5377197265625,0.0,9.145527369826436
13,0.0002665830369204728,1.4519976265927688,0.5423956267973956,3.032006534025631,0.0,3589.555089097475,3160.739501953125,0.06675567423230974,11.214953271028037
14,1e-07,1.3670477905375436,0.47713196923069773,2.9663859484667445,0.0,3565.5810715302287,3209.71923828125,0.06675567423230974,9.345794392523365
14,0.00026148456658033525,1.3442655836834627,0.4629858534205406,2.9375989781344,0.0,3518.5423259735107,3018.1822509765625,0.26702269692923897,10.080106809078773
15,1e-07,1.3839591661876536,0.48970615656618127,2.980843243114451,0.0,3565.2634972341866,3175.5130615234375,0.06675567423230974,9.479305740987984
15,0.0002560806618389228,1.2527614914797207,0.39958527688196,2.843920600605521,0.0,3366.748169802219,2848.580078125,0.20026702269692925,11.748998664886514
16,1e-07,1.3500192018753705,0.4652046288717239,2.9493817824093416,0.0,3559.6006210388264,3156.5247802734375,0.06675567423230974,9.612817089452603
16,0.00025038613442351075,1.1820425877277865,0.35052062658702626,2.7717397557222907,0.0,3337.135883718371,2753.1246337890625,0.20026702269692925,12.683578104138851
17,1e-07,1.3236688757962722,0.4451279701953903,2.928469571200284,0.0,3556.4134766918637,3147.558837890625,0.13351134846461948,10.013351134846461
17,0.0002444165926379231,1.1262671282903396,0.3150624129223951,2.7040155992150945,0.0,3526.612240565953,2857.78515625,0.20026702269692925,13.41789052069426
18,1e-07,1.3575034651526794,0.4703138638785816,2.957298564400902,0.0,3550.7343840350773,3177.4031982421875,0.13351134846461948,10.480640854472629
18,0.00023818839858125631,1.0477784778026336,0.26489763055494764,2.609602708867527,0.0,3311.5636887034684,2653.334228515625,0.26702269692923897,14.419225634178906
19,0.00023171862330050329,0.9905475782838097,0.22910090372524158,2.538155489426883,0.0,3274.437636254467,2494.99462890625,0.13351134846461948,15.48731642189586
20,0.00022502499999999995,0.9544810359490746,0.21042577641453336,2.480184096066072,0.0,3263.963147056437,2532.423583984375,0.46728971962616817,15.287049399198931
21,0.00021812587543594498,0.9090197011429996,0.18793730314243287,2.403607903954817,0.0,3213.6370848845418,2459.9229736328125,0.33377837116154874,16.355140186915886
22,0.00021104015962921622,0.8681642390827444,0.16559306302053087,2.3419038344194543,0.0,3319.851975092105,2482.099365234375,0.33377837116154874,15.554072096128172
23,0.00020378727403431776,0.8363238627260382,0.1491566800816174,2.290557190696186,0.0,3256.217911415966,2433.08740234375,0.13351134846461948,16.22162883845127
24,0.0001963870983065233,0.7962958842994058,0.13260655482623349,2.2122976843686026,0.0,3173.571763360771,2384.2822265625,0.20026702269692925,17.156208277703605
25,0.00018885991581312292,0.772271461984053,0.1217346099768093,2.1684560928752714,0.0,3299.1412430420737,2390.232177734375,0.20026702269692925,16.22162883845127
26,0.00018122635803812293,0.7516952886938412,0.11287241806599864,2.1294094942470285,0.0,3213.0580664012077,2375.970458984375,0.13351134846461948,18.69158878504673
27,0.00017350734803278257,0.7267427983131001,0.10454982985309101,2.0739764733748003,0.0,3224.311868186309,2330.7674560546875,0.06675567423230974,17.75700934579439
28,0.0001657240430669846,0.712600661312195,0.09872992367628106,2.046235704167004,0.0,3310.0836216986418,2326.9349365234375,0.26702269692923897,18.157543391188252
29,0.00015789777663862935,0.6815859829996996,0.08534681711365832,1.9874637930150976,0.0,3255.8332102104564,2291.7855224609375,0.20026702269692925,19.559412550066757
30,0.00015005,0.6688623651463718,0.08067338921647658,1.9606298431355687,0.0,3165.915549203137,2283.2969970703125,0.33377837116154874,20.093457943925234
31,0.00014220222336137057,0.6514833744834451,0.07384027125323839,1.9254769335456072,0.0,3166.3622866580895,2224.9757080078125,0.26702269692923897,19.092122830440587
32,0.00013437595693301536,0.6378309763370351,0.06910734405531921,1.895745365377416,0.0,3229.5252246169125,2258.8857421875,0.20026702269692925,20.493991989319092
33,0.00012659265196721735,0.6277778124745517,0.0629960110829396,1.8826059243258308,0.0,3171.5209011388556,2216.724853515625,0.20026702269692925,19.292389853137518
34,0.00011887364196187695,0.6141878944986007,0.05891234056157543,1.850918435157939,0.0,3227.1120586828174,2235.4888916015625,0.20026702269692925,20.76101468624833
35,0.000111240084186877,0.6052420346494665,0.05390139266270845,1.8378020582352093,0.0,3109.723587647299,2203.889892578125,0.4005340453938585,20.76101468624833
36,0.00010371290169347662,0.5920574744754934,0.05073812027227751,1.804397770427765,0.0,3171.14071104205,2218.1282958984375,0.26702269692923897,19.826435246995995
37,9.63127259656822e-05,0.5832792071097674,0.04694075584112801,1.7877947589292884,0.0,3060.4120097497753,2103.0360107421875,0.33377837116154874,22.029372496662216
38,8.905984037078375e-05,0.5759255240626514,0.04203292951585456,1.7796419004705502,0.0,3111.0942233280443,2144.891357421875,0.20026702269692925,21.628838451268358
39,8.197412456405495e-05,0.5737074446231923,0.04227086672071308,1.7714551897609936,0.0,3077.5641739008743,2091.7254638671875,0.46728971962616817,21.56208277703605
40,7.507500000000002e-05,0.5632629109257683,0.03697667824213996,1.754287365286108,0.0,3076.8432958676754,2111.506591796875,0.20026702269692925,23.030707610146862
41,6.838137669949673e-05,0.5589888399456912,0.03485681893015131,1.7471066592211393,0.0,3029.9654565767864,2101.1658935546875,0.26702269692923897,22.696929238985312
42,6.191160141874366e-05,0.5552272549606262,0.032259756400384365,1.7432249204360228,0.0,3130.893650413992,2104.30517578125,0.33377837116154874,23.16421895861148
43,5.5683407362076893e-05,0.5519927384700367,0.03139962933778285,1.7353102854866396,0.0,3071.1229076130844,2145.905517578125,0.13351134846461948,22.963951935914555
44,4.971386557648925e-05,0.5466651576247444,0.029269880281492352,1.7246508521829698,0.0,3055.978299454153,2095.1151123046875,0.33377837116154874,24.098798397863817
45,4.4019338161077204e-05,0.5436123652572937,0.027597729116678238,1.7200487169989929,0.0,3072.6889538020096,2097.0770263671875,0.06675567423230974,23.16421895861148
46,3.861543341966475e-05,0.5432560787322049,0.02675231662952406,1.7216791290650393,0.0,3088.4530860101268,2099.7027587890625,0.33377837116154874,24.16555407209613
47,3.3516963079527215e-05,0.5365789609159378,0.024574651609468746,1.7066809570088106,0.0,3030.9444961165873,2119.759521484375,0.4005340453938585,23.83177570093458
48,2.8737901693476642e-05,0.5352685556692236,0.023830421610092894,1.7047937075722026,0.0,3034.6021551175495,2073.5289306640625,0.4005340453938585,23.49799732977303
49,2.4291348336583677e-05,0.5348938427028809,0.023183356096499904,1.7057015487854494,0.0,3047.305022383564,2105.7735595703125,0.26702269692923897,23.56475300400534
