epoch,lr,train_total,train_mse,train_infonce,train_heading,train_heading_acc,val_mean_m,val_median_m,val_infonce,val_recall_1km,val_heading_acc
1,0.0002997944987364483,2.693927092630355,0.9506099756623878,2.804035565892204,1.1376644011403694,31.65983606557377,4300.771464588196,4343.41796875,2.804035565892204,4.0650406504065035,33.33333333333333
2,0.0002991785582104725,2.194945026616581,0.7516390949976249,2.2266855493920747,1.0998771474009654,35.34836065573771,4451.945244517753,4229.8564453125,2.2266855493920747,2.4390243902439024,34.959349593495936
3,0.00029815386667224087,1.9203105598199564,0.6264030327562427,1.9282440513860983,1.0992849518041141,33.50409836065574,4128.378567827426,3563.68798828125,1.9282440513860983,2.4390243902439024,35.77235772357724
4,0.0002967232327300341,1.6494248304210726,0.5372938088706283,1.56776825326388,1.0941562808927943,37.19262295081967,4197.309907122356,3792.39990234375,1.56776825326388,6.504065040650407,34.959349593495936
5,0.00029489057765204573,1.480672975055507,0.4950331952728209,1.3142177228067742,1.0951030098023962,35.040983606557376,4177.448139438784,3742.80419921875,1.3142177228067742,8.94308943089431,35.77235772357724
6,0.0002926609246184583,1.3950653467022005,0.4878772748786895,1.1612180158740184,1.088596836465304,38.83196721311475,4011.136161494061,3479.53857421875,1.1612180158740184,4.0650406504065035,35.77235772357724
7,0.0002900403849532554,1.2057920186246027,0.38636093281331607,0.9832360451338721,1.0927101725437602,34.32377049180328,3899.014096143769,3497.9404296875,0.9832360451338721,6.504065040650407,33.33333333333333
8,0.000287036141373508,1.1049148606472328,0.3425821554465372,0.8712625659880091,1.089004669033113,36.37295081967213,3933.069591987424,3597.530517578125,0.8712625659880091,3.2520325203252036,38.21138211382114
9,0.00028365642830204576,1.0543319065062726,0.3086664538647308,0.8414062344637073,1.0832077440668324,40.77868852459016,3956.6260772953187,3469.0908203125,0.8414062344637073,8.94308943089431,30.89430894308943
10,0.0002799105092974766,0.9249452743373934,0.27349938830879866,0.6576976732152408,1.075323474211771,43.23770491803279,3958.996445818645,3593.063720703125,0.6576976732152408,8.130081300813007,37.39837398373984
11,0.0002758086516634163,0.7732800606821404,0.19834124028194147,0.5066939856185287,1.071972731684075,43.23770491803279,3773.8220013874334,3439.885986328125,0.5066939856185287,5.691056910569105,39.02439024390244
12,0.00027136209830652333,0.7534505636965643,0.17840519290967066,0.5078055260122799,1.0704753095986412,40.67622950819672,3751.0943107294843,3386.69482421875,0.5078055260122799,8.94308943089431,32.52032520325203
13,0.0002665830369204728,0.7003331878146187,0.15173777785213266,0.454508933864656,1.071136438455738,44.15983606557377,3874.3087183014163,3397.9140625,0.454508933864656,8.130081300813007,33.33333333333333
14,0.00026148456658033525,0.6785073275448846,0.15285733061247184,0.41550748245637925,1.0596541439900633,44.77459016393443,3879.921358976907,3163.66064453125,0.41550748245637925,10.569105691056912,34.146341463414636
15,0.0002560806618389228,0.6328595432101703,0.13670712104830585,0.3542539746057792,1.063418095229102,42.11065573770492,3874.9800613527377,3301.314208984375,0.3542539746057792,6.504065040650407,32.52032520325203
16,0.00025038613442351075,0.6084149225813443,0.11768525557928398,0.34220045804977417,1.0654314218974503,42.11065573770492,3775.6037992151773,3057.78369140625,0.34220045804977417,8.94308943089431,36.58536585365854
