epoch,train_loss,train_top1,val_loss,val_top1,val_top5,val_mean_m,val_median_m
0,,,7.453092453476584,0.0,0.004005340453938585,5930.140028096485,5711.791511635624
1,7.445211206391237,0.0012527142141306163,7.458412122662777,0.0,0.0,6155.962155073203,5718.344444540818
2,7.140708840508602,0.004426256889928178,7.551865885827507,0.0020026702269692926,0.006675567423230975,5948.778377840786,5552.6542542277275
3,6.476874771232853,0.01920828461666945,7.326829479915277,0.00801068090787717,0.02403204272363151,5480.5792172232395,5017.114175545001
4,5.61523738241124,0.054284282612326706,7.185915427468966,0.011348464619492658,0.036715620827770364,5277.0479816724655,4535.3851239778
5,4.883855164379593,0.11783865040921998,7.124117930836289,0.010013351134846462,0.05473965287049399,4833.773544023327,4088.5058659448127
6,4.222659960839632,0.1902455319859696,7.191648151591241,0.017356475300400534,0.08477970627503338,4592.064456760184,3887.4025057625004
7,3.6308113570919773,0.28361449807917155,7.181254425099759,0.02403204272363151,0.09612817089452604,4540.850713302901,3879.0973467848266
8,3.0930681078107845,0.3871722064473025,7.409320693786377,0.02870493991989319,0.09412550066755675,4546.18689947601,3812.882556949824
9,2.5875081957451824,0.49582428595289796,7.4570991111215505,0.044058744993324434,0.11081441922563418,4260.375130688628,3584.6182626559994
10,2.128456087647644,0.6008017370970435,7.469084099233548,0.04739652870493992,0.11949265687583445,4240.436483663145,3417.710310284241
11,1.708955154686554,0.70335727409387,7.6200959354599265,0.0534045393858478,0.1295060080106809,4096.741497535202,3344.017051865754
12,1.3128164994491647,0.7932186403875062,7.931393035104342,0.04806408544726302,0.12349799732977303,4192.036619812261,3448.2768323253676
13,1.0294423890627544,0.861783865040922,8.100589352392545,0.0514018691588785,0.12483311081441922,4174.092949283908,3349.3293805464473
14,0.7862011918803378,0.9067980624686821,8.136822387277682,0.05941255006675567,0.1288384512683578,4180.328311075876,3367.03576275052
15,0.5807555583993999,0.941038917654919,8.360106735586006,0.05874499332443257,0.1315086782376502,4044.285261052586,3209.315297952189
16,0.4421023062320032,0.9629196592617337,8.381238055006365,0.062082777036048066,0.1308411214953271,4179.162138423108,3424.0507057897576
17,0.3398663527343913,0.9758643728077502,8.519829435564965,0.06008010680907877,0.1261682242990654,4158.52903501786,3492.574336455623
18,0.2598444032254911,0.9833806580925338,8.52698625200422,0.06341789052069426,0.13551401869158877,4171.420759039207,3338.750809946117
19,0.20180775049195895,0.9888090863537665,8.706302907661062,0.06608811748998665,0.13351134846461948,4006.5813894665193,3223.3569602162543
20,0.18826345284753318,0.987806914982462,8.687171928395575,0.06008010680907877,0.13618157543391188,4155.715199628398,3424.0507057897576
21,0.15482245621347498,0.9902288291297812,8.810376497072594,0.06408544726301736,0.13951935914552738,4195.141455709698,3442.7237384874184
22,0.14899618232988926,0.9895607148822448,8.955061156218138,0.06809078771695594,0.1308411214953271,4007.9354194440843,3281.4112791079574
23,0.1216353322580738,0.9926507432771003,8.93879458678262,0.06675567423230974,0.12817089452603472,4181.076921123519,3399.4244806829106
24,0.06837576839787267,0.9963253716385502,8.983257137089769,0.06942590120160214,0.1308411214953271,4143.022851396199,3396.5813119541617
25,0.10559235295927621,0.9928177718389845,9.033002554176646,0.07009345794392523,0.13818424566088117,4016.405989184507,3197.5927571909765
26,0.07374646878907531,0.9965759144813763,9.167661803109306,0.06542056074766354,0.13618157543391188,4005.4946035613452,3252.1332668998266
27,0.07126675871471062,0.995824285952898,9.316693149357835,0.06608811748998665,0.1348464619492657,4023.182582814731,3301.9489885022044
28,0.07724743938135428,0.9943210288959412,9.356874779165189,0.06542056074766354,0.1328437917222964,4150.892180431733,3351.576530310511
29,0.07759775616837121,0.993903457491231,9.479683061148997,0.05807743658210948,0.13551401869158877,4155.861991403319,3526.541238299177
30,0.12296632836731962,0.9850509437113747,9.566333903171351,0.05874499332443257,0.1341789052069426,4184.053372214999,3472.343215011931
31,0.08306374550064836,0.9924837147152163,9.559136702635579,0.06542056074766354,0.12349799732977303,4152.291932215049,3419.124251936065
32,0.06740725154926089,0.9936529146484049,9.601126334695854,0.06008010680907877,0.1288384512683578,4123.376882073352,3489.1835144835777
33,0.050283603134986775,0.9961583430766661,9.715759197128154,0.06408544726301736,0.1321762349799733,4085.980773592664,3218.545946340105
