epoch,lr,train_loss,train_ce,train_hav_m,train_coarse_acc,val_raw_mean_m,val_raw_median_m,val_coarse_acc,val_acc100_pct,val_acc1km_pct,early_stopped
1,0.0002998843939842964,1.0343677597568635,1.1218127479208981,4880.355353860294,46.70788770053476,4494.689589954983,4435.62646484375,48.66488651535381,0.0,3.6715620827770366,0
2,0.00029953775419328254,0.9372236508736635,1.04491894401331,4327.133804076496,50.64338235294118,4418.502091340293,4247.43896484375,51.4018691588785,0.0,2.469959946595461,0
3,0.00029896061512039117,0.9129136215875493,1.0157437139653904,4221.801006459935,52.732286096256686,4240.471385899787,4166.432373046875,52.87049399198932,0.0,3.0707610146862483,0
4,0.00029815386667224087,0.8934454493981632,0.9868815759605265,4155.773379402364,54.303141711229955,4408.111174243474,4376.13818359375,53.538050734312414,0.0,3.204272363150868,0
5,0.00029711875279646435,0.8771699447045351,0.9663917800003194,4088.443482098095,55.55648395721925,4237.10799214423,3931.1343994140625,51.60213618157543,0.06675567423230974,3.6715620827770366,0
6,0.00029585686956363154,0.8663178138873157,0.9525741426383748,4044.067855426972,56.39204545454546,4137.284386399273,3942.8916015625,56.67556742323098,0.06675567423230974,5.2069425901201605,0
7,0.0002943701627062244,0.8482241652866098,0.929827620638883,3969.109208540483,58.347259358288774,3970.475613496014,3693.4818115234375,56.87583444592791,0.13351134846461948,4.2723631508678235,0
8,0.0002926609246184583,0.829655618909846,0.9057112474811269,3894.7592192461148,58.27205882352941,4086.2051341587776,3986.49658203125,55.54072096128171,0.0,4.873164218958611,0
9,0.0002907317908215765,0.8160956474867734,0.8822818264604252,3859.85752175071,60.35260695187166,3950.6526732196476,3597.1929931640625,55.407209612817084,0.0,5.674232309746328,0
10,0.0002885857359000674,0.8033906930589421,0.864779971818873,3812.3224046676555,61.36363636363637,3984.2722315514516,3667.7298583984375,56.60881174899867,0.06675567423230974,5.874499332443257,0
11,0.0002862260689150709,0.7883500678335281,0.8470353117601119,3746.1327446106284,61.981951871657756,3971.145782939264,3601.177978515625,59.41255006675568,0.0,5.874499332443257,0
12,0.0002836564283020457,0.7689130111811633,0.8190422644589674,3677.467434643424,63.987299465240646,3959.1695872817404,3617.51708984375,57.943925233644855,0.06675567423230974,5.540720961281709,0
