epoch,lr,train_loss,train_ce,train_hav_m,train_coarse_acc,val_loss,val_ce,val_hav_m,val_coarse_acc,val_b3_mean,val_b3_median
1,0.0002998843939842964,1.0321820676326752,1.1102172603262936,4900.792855818641,47.05046791443851,0.9600632472413881,1.087213358032369,4376.482363203021,45.06008010680908,3886.421749069214,3773.49951171875
2,0.00029953775419328254,0.9359842680673548,1.0409280162125347,4330.108721564798,51.3201871657754,0.9204661998952501,1.0507840688460979,4167.937896361816,51.4018691588785,3408.5061555480956,3132.380126953125
3,0.00029896061512039117,0.912040883844549,1.0104062531721145,4232.319710634609,52.94117647058824,0.910336778144811,1.0231067492901404,4175.783843301485,52.7369826435247,3398.752263320923,3169.1383056640625
4,0.00029815386667224087,0.89615535289846,0.9918169634227447,4161.904618043951,54.161096256684495,0.9810722116157115,1.125853080774977,4422.7581156385595,51.3351134846462,3483.1449865264894,3232.0523681640625
5,0.00029711875279646435,0.8769264936765885,0.9668215793721816,4084.982056316845,55.92413101604278,0.8964062679275492,0.9989898204007677,4140.0860385461865,53.4712950600801,3306.5670047149656,3079.41650390625
6,0.00029585686956363154,0.8659760614129949,0.9508446751431348,4046.9847973502256,56.158088235294116,0.893218825910693,1.0176883874652543,4051.1954617875917,53.13751668891856,3155.01051953125,2844.9913330078125
7,0.0002943701627062244,0.8494830345087511,0.9326740697743421,3970.1116192659592,58.798462566844925,0.860291706863169,0.966445092206326,3947.6137780060913,56.34178905206942,3034.931553878784,2795.7718505859375
8,0.0002926609246184583,0.834888865444112,0.9168604953403778,3901.2054378081134,58.898729946524064,0.8769424954784887,0.9810734543208286,4037.6092674347046,56.27503337783711,3043.9795101165773,2809.7802734375
9,0.0002907317908215765,0.8239851680031435,0.898121135598198,3872.805837049841,59.725935828877006,0.8787194027283163,0.9967989951014041,3999.9982417963533,56.742323097463284,2962.1275635910033,2594.3475341796875
10,0.0002885857359000674,0.8033230373247422,0.8685798499992187,3799.092369365182,61.67279411764706,0.8763322764945444,0.9921018739886214,3995.762651634471,56.809078771695596,2999.526133728027,2758.74169921875
11,0.0002862260689150709,0.7930709639972544,0.8533995100521149,3764.259564568015,62.22426470588235,0.8967636705877307,1.0128076182347592,4097.005073822388,58.277703604806405,3058.6628589553834,2706.705322265625
12,0.0002836564283020457,0.7757214575527823,0.8281939008975412,3703.6990294430984,63.8201871657754,0.8624155842096051,0.9968878008494867,3863.837170915387,58.41121495327103,2947.003836502075,2684.1787109375
13,0.0002808807762605659,0.7613279585213585,0.8095554844899611,3645.8812601834056,64.49699197860963,0.8474783132646049,0.9552257863160606,3878.233175483979,58.41121495327103,2854.0374766845703,2529.9276123046875
14,0.0002779033926448961,0.7398122813612382,0.7811005966548614,3561.433581347134,66.37700534759358,0.8356737963188793,0.9540690137483727,3783.7181332923064,58.61148197596796,2769.137686729431,2359.7017822265625
15,0.00027472886836476667,0.7247084618252229,0.7521056658762661,3532.218190565466,68.24866310160428,0.8568978312814506,0.9714864097704715,3902.527102542974,58.344459279038716,3011.118336242676,2646.9599609375
16,0.0002713620983065234,0.7058922552807446,0.7263207453138688,3461.366225951496,69.4100935828877,0.8656165330050307,0.9904080071500211,3912.110993042807,58.67823765020027,2853.79231401062,2466.122802734375
17,0.0002678082737855677,0.68574985351792,0.6946338870946098,3399.1357258679395,70.85561497326202,0.9124452919762666,1.0847662478804747,3987.8231450527787,56.00801068090788,2814.486494567871,2394.2532958984375
18,0.00026407287454172464,0.6663264587601239,0.6643349549030875,3338.270559382311,72.66042780748663,0.8883463462618229,1.0608673226212628,3866.6616947596794,58.344459279038716,2698.3307253570556,2380.2510986328125
19,0.00026016166028988106,0.6433397796064775,0.6286989350051166,3265.5016280393547,74.28141711229947,0.9205133614139022,1.1149320091520036,3954.504640301652,54.873164218958614,2714.011429283142,2299.822998046875
20,0.0002560806618389228,0.6166210490911402,0.5878450725486571,3179.025083817263,75.92747326203208,0.9899898301138579,1.2630709646063272,4039.6785759919476,54.73965287049399,2699.5464914779664,2321.8966064453125
21,0.00025183617179266464,0.5984954000475572,0.5576381222768263,3128.667852554729,77.34792780748663,0.9016698735737514,1.1086770881797985,3818.3252083507177,58.47797062750334,2521.5852700500486,2151.8253173828125
22,0.00024743473484711105,0.5756665957484016,0.524773832589866,3047.9754547282337,78.80180481283422,0.9315600734209027,1.161082475541908,3892.7255389999164,59.14552736982643,2581.4616176452637,2040.6435546875
23,0.00024288313769900958,0.547013816986492,0.47601455565601747,2971.7332045611215,81.39204545454545,0.9503055463964057,1.2186013131498177,3857.208413301068,57.14285714285714,2652.2100299072267,2260.69580078125
24,0.00023818839858125634,0.5248390519045254,0.44119688352559977,2903.0024329200787,82.55347593582889,1.0019663736244069,1.3111738264958595,3979.1402716643024,57.20961281708945,2676.0567405700685,2302.3858642578125
TEST,0,0,0,0,0,0,0,0,0,2783.511874878478,2357.91650390625
